trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.07603200460356394, 'e': 0.6703200460356393}",20,0,-130.59030872699176,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
41,False,"{'a': 0.07536502501363193, 'e': 0.6636502501363194}",30,11,-62.95521241360353,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
42,False,"{'a': 0.07470468198150568, 'e': 0.6570468198150567}",20,0,-43.1050477746994,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
43,False,"{'a': 0.07405090947233164, 'e': 0.6505090947233165}",20,0,-205.12567149909898,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
44,False,"{'a': 0.07340364210831414, 'e': 0.6440364210831414}",35,9,-4.978024854485942,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.07276281516217734, 'e': 0.6376281516217733}",30,0,-102.85402157274177,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.07212836455069259, 'e': 0.631283645506926}",20,13,-42.950032431217345,"{0: 4, 1: 0, 2: 1, 3: 2, 4: 0}",1
47,False,"{'a': 0.07150022682827008, 'e': 0.6250022682827008}",25,0,-112.19386130565745,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.07087833918061408, 'e': 0.6187833918061408}",20,8,-57.506111201810455,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.07026263941844162, 'e': 0.6126263941844161}",25,0,-63.777294297286716,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
50,False,"{'a': 0.06965306597126335, 'e': 0.6065306597126334}",30,10,-81.36125390402657,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
51,False,"{'a': 0.06904955788122659, 'e': 0.6004955788122659}",25,12,-25.43925266494915,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.06845205479701943, 'e': 0.5945205479701944}",25,5,-47.33108188188701,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",1
53,False,"{'a': 0.06786049696783551, 'e': 0.5886049696783552}",20,0,-36.75843751221812,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.06727482523739896, 'e': 0.5827482523739896}",20,0,-22.387914357937078,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.06669498103804866, 'e': 0.5769498103804866}",20,2,-34.815585545277145,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
56,False,"{'a': 0.06612090638488148, 'e': 0.5712090638488149}",25,10,-46.1785179641557,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
57,False,"{'a': 0.06555254386995371, 'e': 0.5655254386995371}",25,6,-18.3986581681263,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
58,False,"{'a': 0.0649898366565402, 'e': 0.559898366565402}",25,7,-8.181404403472193,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
59,False,"{'a': 0.0644327284734507, 'e': 0.5543272847345071}",20,7,-0.5885680677680503,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.06388116360940264, 'e': 0.5488116360940265}",20,0,20.133144673694545,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.06333508690744998, 'e': 0.5433508690744998}",20,5,28.41054043408069,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.06279444375946745, 'e': 0.5379444375946745}",25,0,-67.86079394955529,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.062259180100689725, 'e': 0.5325918010068972}",20,11,-27.133074515715954,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.06172924240430486, 'e': 0.5272924240430485}",20,2,-3.5086287426036225,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
65,False,"{'a': 0.06120457767610161, 'e': 0.522045776761016}",20,0,-77.18890532151143,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
66,False,"{'a': 0.06068513344916992, 'e': 0.5168513344916992}",30,5,-118.71240686558194,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",1
67,False,"{'a': 0.060170857778654246, 'e': 0.5117085777865424}",20,6,-18.757673723145807,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.05966169923655896, 'e': 0.5066169923655895}",35,26,8.460498872264925,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.05915760690660555, 'e': 0.5015760690660555}",30,14,6.636386371534742,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.05865853037914095, 'e': 0.49658530379140947}",25,16,-3.4769405535412314,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.05816441974609651, 'e': 0.4916441974609651}",20,0,-45.61485729724017,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.05767522559599717, 'e': 0.4867522559599717}",20,12,-26.945803625051173,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.057190899009020246, 'e': 0.48190899009020244}",20,0,-48.19227228238948,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.05671139155210344, 'e': 0.4771139155210344}",20,0,5.805898645898407,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.056236655274101474, 'e': 0.4723665527410147}",20,15,-10.904939445486917,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
